dataset,case_id,baseline_input_tokens,baseline_output_tokens,baseline_seconds,baseline_cost_usd,baseline_truncated,curated_input_tokens,curated_output_tokens,curated_seconds,curated_cost_usd,curated_truncated,jev_input_tokens,jev_output_tokens,original_messages,retained_messages
wildchat,wildchat-83182-m0025,2670,1294,19.886096957954578,0.0160674,False,90,1193,18.826029625022784,0.014764674,False,6397,484,24,0
wildchat,wildchat-93027-m0045,3679,120,3.436771292006597,0.0021812,False,78,118,3.6344632080290467,0.002007414,False,10367,884,44,0
wildchat,wildchat-136-m0041,3779,120,2.5764341249596328,0.0022012,False,1299,119,2.8486969580408186,0.005098788,False,10114,804,40,11
wildchat,wildchat-4352-m0029,1367,258,3.7553235000232235,0.0033748000000000003,False,96,299,4.834884000010788,0.004014654,False,5587,564,28,0
wildchat,wildchat-4352-m0027,1222,69,1.7573280830401927,0.0010777999999999999,False,335,127,2.4974447920685634,0.0024103,False,5150,524,26,8
wildchat,wildchat-83182-m0031,3389,398,5.461804167018272,0.0054592,False,191,124,2.769969208049588,0.0022062519999999997,False,8006,604,30,2
wildchat,wildchat-83182-m0009,686,245,4.185713917016983,0.004312,False,455,204,3.7411230420693755,0.003444814,False,2067,164,8,3
wildchat,wildchat-112-m0035,2410,33,1.3160208340268582,0.0008834000000000001,False,524,73,1.6714594999793917,0.00224089,False,7545,684,34,4
wildchat,wildchat-83182-m0023,2338,1492,21.92658841703087,0.018377,False,932,1737,24.143858791911043,0.022950256,False,5768,444,22,5
wildchat,wildchat-112234-m0035,1803,54,1.3894389170454815,0.001014,False,239,74,2.01754858403001,0.0016561360000000001,False,6908,684,34,2
wildchat,wildchat-83182-m0005,368,328,5.444845165940933,0.004672,False,343,180,3.889937167055905,0.002895266,False,1173,84,4,2
wildchat,wildchat-93027-m0033,2296,711,13.094624667079188,0.0089966,False,1156,1249,22.165835875086486,0.01817806,False,7180,644,32,11
wildchat,wildchat-93027-m0031,2068,685,12.603190000052564,0.008639,False,1546,659,12.812370958039537,0.012051094,False,6657,604,30,18
wildchat,wildchat-136-m0029,2785,170,3.137987833004445,0.0026024,False,654,145,3.0764487499836832,0.0033566579999999998,False,7349,564,28,5
wildchat,wildchat-93027-m0043,3538,187,3.446088834083639,0.002957,False,1706,177,3.0728803749661893,0.006804812,False,9936,844,42,13
wildchat,wildchat-142818-m0035,2974,279,5.734089334029704,0.0039482,False,1078,297,6.008451665984467,0.00412667,False,8135,684,34,11
wildchat,wildchat-83182-m0033,3644,466,6.615132458042353,0.0063262,False,446,529,8.30079474998638,0.00759973,False,8565,644,32,4
wildchat,wildchat-80918-m0015,1397,188,3.2861480420688167,0.0025408,False,218,171,3.9084937919396907,0.0026437780000000003,False,3709,284,14,3
wildchat,wildchat-136-m0027,2676,96,2.35294079198502,0.0016925999999999998,False,791,85,2.1986950839636847,0.002894026,False,6953,524,26,5
wildchat,wildchat-142818-m0043,3792,526,9.536415583919734,0.0070758,False,1132,513,10.160830333014019,0.009409414,False,10117,844,42,11
long-context,longmemeval-031748ae-original,117415,74,3.6910205419408157,0.294424,False,797,81,10.592400791007094,0.011203216,False,205648,9968,494,6
long-context,longmemeval-031748ae-s044-m007,109094,1170,20.24756537505891,0.2867735,False,1584,860,23.99672470893711,0.022299156,False,190968,9240,458,4
long-context,longmemeval-031748ae-s045-m005,111517,5,2.176992958993651,0.278851,False,1357,642,17.943194666993804,0.019352242000000006,False,196601,9564,474,3
long-context,longmemeval-6d550036-s028-m007,62309,105,2.4114330409793183,0.157031,False,841,130,6.790596958948299,0.008041214000000001,False,114267,5988,297,6
long-context,longmemeval-6d550036-s042-m004,92522,361,4.401647791964933,0.2356355,False,1350,352,9.635808416991495,0.014653962000000001,False,168011,8748,434,4
long-context,longmemeval-6d550036-s040-m007,87944,808,14.381055875099264,0.2295545,False,7820,823,19.05448754201643,0.036203132,False,161396,8328,413,21
long-context,longmemeval-gpt4_2655b836-original,116074,77,2.81980979104992,0.2911075,False,97,52,9.908331291982904,0.009199813999999999,False,199567,9388,465,0
long-context,longmemeval-gpt4_2655b836-s034-m007,87273,2048,26.20841795799788,0.242757,True,1613,3,6.867345375008881,0.010496528000000001,False,153084,7288,361,4
long-context,longmemeval-gpt4_2655b836-s044-m009,114928,744,13.144180957926437,0.2962465,False,1297,601,19.73605641699396,0.018767782,False,197971,9268,459,7
tool-use,prompt-reconstruction,7423,105,2.495546124991961,0.019816,False,1931,127,3.080128249945119,0.007376228,False,24434,1848,92,22
tool-use,chunking-limits,9687,674,12.955258000059985,0.032304,False,7190,579,12.395420707995072,0.025718743999999998,False,18982,868,43,9
